GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,11,89,3,8,2,19,3,5,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,203,99,15,2,56,25,13,4,4,4
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,43,19,8,0,11,8,10,3,6,3
parking-system,com.parkit.parkingsystem.model,Ticket,7,38,0,0,3,16,2,11,2,11
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,48,9,4,0,17,2,6,1,4,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,235,38,4,0,59,10,6,3,4,3
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,103,4,4,0,28,1,5,1,3,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,33,27,5,1,16,10,5,4,2,4
